Title: "SJR.csv"
11783,PST,'RIVER STAGE (feet)'
20081102,0530,0.00
20081102,0545,0.00
20081102,0600,0.00
20081102,0615,0.00
20081102,0630,0.00
20081102,0645,0.00
20081102,0700,0.00
20081102,0715,0.00
20081102,0730,0.00
20081102,0745,0.00
20081102,0800,0.00
20081102,0815,0.00
20081102,0830,0.00
20081102,0845,0.00
20081102,0900,0.00
20081102,0915,0.00
20081102,0930,0.00
20081102,0945,0.00
20081102,1000,0.00
20081102,1015,0.00
20081102,1030,0.00
20081102,1045,0.00
20081102,1100,0.00
20081102,1115,0.00
20081102,1130,0.00
20081102,1145,0.00
20081102,1200,0.00
20081102,1215,0.00
20081102,1230,0.00
20081102,1245,0.00
20081102,1300,0.00
20081102,1315,0.00
20081102,1330,0.00
20081102,1345,0.00
20081102,1400,0.00
20081102,1415,0.00
20081102,1430,0.00
20081102,1445,0.00
20081102,1500,0.00
20081102,1515,0.00
20081102,1530,0.00
20081102,1545,0.00
20081102,1600,0.00
20081102,1615,0.00
20081102,1630,0.00
20081102,1645,0.00
20081102,1700,0.00
20081102,1715,0.00
20081102,1730,0.00
20081102,1745,0.00
20081102,1800,0.00
20081102,1815,0.00
20081102,1830,0.00
20081102,1845,0.00
20081102,1900,0.00
20081102,1915,0.00
20081102,1930,0.00
20081102,1945,0.00
20081102,2000,0.00
20081102,2015,0.00
20081102,2030,0.00
20081102,2045,0.00
20081102,2100,0.00
20081102,2115,0.00
20081102,2130,0.00
20081102,2145,0.00
20081102,2200,0.00
20081102,2215,0.00
20081102,2230,0.00
20081102,2245,0.00
20081102,2300,0.00
20081102,2315,0.00
20081102,2330,0.00
20081102,2345,0.00
20081103,0000,0.00
20081103,0015,0.00
20081103,0030,0.00
20081103,0045,0.00
20081103,0100,0.00
20081103,0115,0.00
20081103,0130,0.00
20081103,0145,0.00
20081103,0200,0.00
20081103,0215,0.00
20081103,0230,0.00
20081103,0245,0.00
20081103,0300,0.00
20081103,0315,0.00
20081103,0330,0.00
20081103,0345,0.00
