STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
JER,E,100,EL COND,20191204 1300,20191204 1300,2172, ,uS/cm
JER,E,100,EL COND,20191204 1315,20191204 1315,2168, ,uS/cm
JER,E,100,EL COND,20191204 1330,20191204 1330,1970, ,uS/cm
JER,E,100,EL COND,20191204 1345,20191204 1345,1943, ,uS/cm
JER,E,100,EL COND,20191204 1400,20191204 1400,1888, ,uS/cm
JER,E,100,EL COND,20191204 1415,20191204 1415,1879, ,uS/cm
JER,E,100,EL COND,20191204 1430,20191204 1430,1907, ,uS/cm
JER,E,100,EL COND,20191204 1445,20191204 1445,1806, ,uS/cm
JER,E,100,EL COND,20191204 1500,20191204 1500,1512, ,uS/cm
JER,E,100,EL COND,20191204 1515,20191204 1515,1294, ,uS/cm
JER,E,100,EL COND,20191204 1530,20191204 1530,1158, ,uS/cm
JER,E,100,EL COND,20191204 1545,20191204 1545,1082, ,uS/cm
JER,E,100,EL COND,20191204 1600,20191204 1600,1002, ,uS/cm
JER,E,100,EL COND,20191204 1615,20191204 1615,944, ,uS/cm
JER,E,100,EL COND,20191204 1630,20191204 1630,869, ,uS/cm
JER,E,100,EL COND,20191204 1645,20191204 1645,808, ,uS/cm
JER,E,100,EL COND,20191204 1700,20191204 1700,776, ,uS/cm
JER,E,100,EL COND,20191204 1715,20191204 1715,734, ,uS/cm
JER,E,100,EL COND,20191204 1730,20191204 1730,709, ,uS/cm
JER,E,100,EL COND,20191204 1745,20191204 1745,704, ,uS/cm
JER,E,100,EL COND,20191204 1800,20191204 1800,701, ,uS/cm
JER,E,100,EL COND,20191204 1815,20191204 1815,692, ,uS/cm
JER,E,100,EL COND,20191204 1830,20191204 1830,695, ,uS/cm
JER,E,100,EL COND,20191204 1845,20191204 1845,729, ,uS/cm
JER,E,100,EL COND,20191204 1900,20191204 1900,734, ,uS/cm
JER,E,100,EL COND,20191204 1915,20191204 1915,744, ,uS/cm
JER,E,100,EL COND,20191204 1930,20191204 1930,803, ,uS/cm
JER,E,100,EL COND,20191204 1945,20191204 1945,805, ,uS/cm
JER,E,100,EL COND,20191204 2000,20191204 2000,800, ,uS/cm
JER,E,100,EL COND,20191204 2015,20191204 2015,796, ,uS/cm
JER,E,100,EL COND,20191204 2030,20191204 2030,803, ,uS/cm
JER,E,100,EL COND,20191204 2045,20191204 2045,808, ,uS/cm
JER,E,100,EL COND,20191204 2100,20191204 2100,833, ,uS/cm
JER,E,100,EL COND,20191204 2115,20191204 2115,902, ,uS/cm
